round,clone,number,P0,A1,A0,f,ss.f,length,mm,time ,fecundity,death.age,end.size,dead,infected,susceptible,spore yield,mult.inf,mult.uninf,mult.ed,tolerant
1,A45,7,393,224.25,385.9988889,22.5151182,17.03621578,59,1.149610044,0.361805556,23,,91,0,0,1,0,0,1,0,No
1,A45,9,393,276.72,385.9988889,13.79864078,8.096356592,67,1.305489372,0.361805556,12,16,83,1,0,1,0,0,1,0,No
1,A45,10,393,288.52,385.9988889,12.06739693,7.296736297,66,1.286004456,0.361805556,7,13,,1,0,1,0,0,1,0,No
1,A45,11,393,268.17,385.9988889,15.09982548,12.24123234,57,1.110640212,0.361805556,12,20,85,1,0,1,0,0,1,0,No
1,A45,12,393,235,385.9988889,20.57385393,14.56327017,61,1.188579876,0.361805556,4,18,78,1,0,1,0,0,1,0,No
1,Bris.10,1,0,290.75,385.9988889,12.02516132,8.798149444,60,1.16909496,0.353472222,7,13,76,1,0,1,,0,1,0,No
1,Bris.10,2,0,277.16,385.9988889,14.05653033,11.00588755,58,1.130125128,0.353472222,12,18,84,1,0,1,,0,1,0,No
1,Bris.10,4,0,324.85,385.9988889,7.319003139,6.862828063,53,1.032700548,0.353472222,8,15,74,1,0,1,,0,1,0,No
1,Bris.10,5,0,193.19,385.9988889,29.37261913,17.23439303,67,1.305489372,0.353472222,9,13,77,1,0,1,,0,1,0,No
1,Bris.10,6,0,234.75,385.9988889,21.10406455,16.52391847,58,1.130125128,0.353472222,4,15,76,1,0,1,,0,1,0,No
1,Bris.10,7,0,269.69,385.9988889,15.21596255,9.48583665,65,1.26651954,0.353472222,15,16,79,1,0,1,,0,1,0,No
1,Bris.10,8,0,,,,,50,0.9742458,0.353472222,5,21,73,1,0,1,,0,1,0,No
1,Bris.10,10,0,214.72,385.9988889,24.88878617,18.20975657,60,1.16909496,0.353472222,33,,94,0,0,1,,0,1,0,No
1,Bris.10,11,0,231.45,385.9988889,21.70484375,13.53109286,65,1.26651954,0.353472222,33,,95,0,0,1,,0,1,0,No
1,Bris.10,12,0,217.58,385.9988889,24.32728186,21.97399349,54,1.052185464,0.353472222,25,,92,0,0,1,,0,1,0,No
1,Bris.10,13,0,209.68,385.9988889,25.8967421,20.99415236,57,1.110640212,0.353472222,11,17,80,1,0,1,,0,1,0,No
1,Bris.10,14,0,241.14,385.9988889,19.96437557,15.63157247,58,1.130125128,0.353472222,13,15,83,1,0,1,,0,1,0,No
1,Bris.10,15,0,230.08,385.9988889,21.95677838,12.1471211,69,1.344459204,0.354861111,0,,,,,,,,,,No
1,Bris.10,1,75,,,,,avg,1.138785091,0.353472222,5,11,,1,0,1,0,0,0,1,No
1,Bris.10,2,75,,,,,avg,1.138785091,0.353472222,18,17,86,1,1,0,35.125,1,0,0,No
1,Bris.10,3,75,,,,,avg,1.138785091,0.353472222,7,14,79,1,0,1,0,0,1,0,No
1,Bris.10,4,75,,,,,avg,1.138785091,0.353472222,11,14,82,1,1,0,,1,0,0,No
1,Bris.10,5,75,,,,,avg,1.138785091,0.353472222,19,19,83,1,0,1,0,0,1,0,No
1,Bris.10,6,75,,,,,avg,1.138785091,0.353472222,20,18,84,1,0,1,0,0,1,0,No
1,Bris.10,7,75,,,,,avg,1.138785091,0.353472222,12,17,81,1,1,0,31.875,1,0,0,No
1,Bris.10,8,75,,,,,avg,1.138785091,0.353472222,27,,,0,0,1,0,0,1,0,No
1,Bris.10,10,75,,,,,avg,1.138785091,0.353472222,5,15,75,1,0,1,0,0,1,0,No
1,Bris.10,11,75,,,,,avg,1.138785091,0.353472222,22,20,78,1,0,1,0,0,1,0,No
