Genotype,Spores,Sample,Replicate,Time,Abs,Prop_inf,No_in_sample
Standard,300,3,1,4,0.2805,0.8,5
Standard,300,3,2,4,0.3684,0.8,5
Standard,300,1,1,4.5,0.2761,1,7
Standard,300,1,2,4.5,0.3066,1,7
Standard,300,2,1,4.5,0.2909,1,7
Standard,300,2,2,4.5,0.2815,1,7
Standard,300,3,1,4.5,0.2898,0.8,5
Standard,300,3,2,4.5,0.3802,0.8,5
Midland 281,0,1,1,0,1.3571,0,7
Midland 281,0,1,2,0,1.1218,0,7
Midland 281,0,2,1,0,1.2948,0,7
Midland 281,0,2,2,0,1.0547,0,7
Midland 281,0,3,1,0,1.2267,0,7
Midland 281,0,3,2,0,1.2635,0,7
Midland 281,0,1,1,1,0.2632,0,7
Midland 281,0,1,2,1,0.2602,0,7
Midland 281,0,2,1,1,0.2636,0,7
Midland 281,0,2,2,1,0.2544,0,7
Midland 281,0,3,1,1,0.2605,0,7
Midland 281,0,3,2,1,0.2613,0,7
Midland 281,0,1,1,2,0.2826,0,7
Midland 281,0,1,2,2,0.2756,0,7
Midland 281,0,2,1,2,0.273,0,7
Midland 281,0,2,2,2,0.2688,0,7
Midland 281,0,3,1,2,0.2779,0,7
Midland 281,0,3,2,2,0.2749,0,7
Midland 281,0,1,1,3,0.3003,0,7
Midland 281,0,1,2,3,0.291,0,7
Midland 281,0,2,1,3,0.2912,0,7
Midland 281,0,2,2,3,0.2843,0,7
Midland 281,0,3,1,3,0.2941,0,7
Midland 281,0,3,2,3,0.293,0,7
Midland 281,0,1,1,4,0.3166,0,7
Midland 281,0,1,2,4,0.31,0,7
Midland 281,0,2,1,4,0.3079,0,7
Midland 281,0,2,2,4,0.3007,0,7
Midland 281,0,3,1,4,0.3085,0,7
Midland 281,0,3,2,4,0.308,0,7
Midland 281,0,1,1,4.5,0.3264,0,7
Midland 281,0,1,2,4.5,0.318,0,7
Midland 281,0,2,1,4.5,0.316,0,7
Midland 281,0,2,2,4.5,0.3089,0,7
Midland 281,0,3,1,4.5,0.3171,0,7
Midland 281,0,3,2,4.5,0.314,0,7
Midland 281,150,1,1,0,1.179,0.143,7
Midland 281,150,1,2,0,0.9151,0.143,7
Midland 281,150,2,1,0,1.2608,0,7
Midland 281,150,2,2,0,1.0609,0,7
Midland 281,150,3,1,0,1.3249,0,7
Midland 281,150,3,2,0,1.2458,0,7
Midland 281,150,1,1,1,0.2469,0.143,7
Midland 281,150,1,2,1,0.2343,0.143,7
Midland 281,150,2,1,1,0.2397,0,7
Midland 281,150,2,2,1,0.2531,0,7
Midland 281,150,3,1,1,0.2507,0,7
Midland 281,150,3,2,1,0.2583,0,7
Midland 281,150,1,1,2,0.2615,0.143,7
Midland 281,150,1,2,2,0.2465,0.143,7
Midland 281,150,2,1,2,0.253,0,7
Midland 281,150,2,2,2,0.2666,0,7
Midland 281,150,3,1,2,0.2633,0,7
Midland 281,150,3,2,2,0.2732,0,7
Midland 281,150,1,1,3,0.2756,0.143,7
Midland 281,150,1,2,3,0.2606,0.143,7
Midland 281,150,2,1,3,0.2684,0,7
Midland 281,150,2,2,3,0.2802,0,7
Midland 281,150,3,1,3,0.2787,0,7
Midland 281,150,3,2,3,0.2871,0,7
Midland 281,150,1,1,4,0.2893,0.143,7
Midland 281,150,1,2,4,0.2751,0.143,7
Midland 281,150,2,1,4,0.28,0,7
Midland 281,150,2,2,4,0.2968,0,7
Midland 281,150,3,1,4,0.2927,0,7
Midland 281,150,3,2,4,0.3027,0,7
Midland 281,150,1,1,4.5,0.2954,0.143,7
Midland 281,150,1,2,4.5,0.2823,0.143,7
Midland 281,150,2,1,4.5,0.2873,0,7
Midland 281,150,2,2,4.5,0.3055,0,7
Midland 281,150,3,1,4.5,0.299,0,7
Midland 281,150,3,2,4.5,0.3099,0,7
Midland 281,300,1,1,0,0.608,0,7
Midland 281,300,1,2,0,0.5145,0,7
Midland 281,300,2,1,0,1.6181,0,7
Midland 281,300,2,2,0,2.0945,0,7
Midland 281,300,3,1,0,,,
Midland 281,300,3,2,0,,,
Midland 281,300,1,1,1,0.2597,0,7
Midland 281,300,1,2,1,0.2562,0,7
Midland 281,300,2,1,1,0.4005,0,7
Midland 281,300,2,2,1,0.3522,0,7
Midland 281,300,3,1,1,,,
Midland 281,300,3,2,1,,,
Midland 281,300,1,1,2,0.2756,0,7
Midland 281,300,1,2,2,0.2672,0,7
Midland 281,300,2,1,2,0.4329,0,7
Midland 281,300,2,2,2,0.3801,0,7
Midland 281,300,3,1,2,,,
Midland 281,300,3,2,2,,,
Midland 281,300,1,1,3,0.2898,0,7
Midland 281,300,1,2,3,0.2834,0,7
Midland 281,300,2,1,3,0.4599,0,7
Midland 281,300,2,2,3,0.4189,0,7
Midland 281,300,3,1,3,,,
Midland 281,300,3,2,3,,,
Midland 281,300,1,1,4,0.3052,0,7
Midland 281,300,1,2,4,0.2996,0,7
Midland 281,300,2,1,4,0.4865,0,7
Midland 281,300,2,2,4,0.4497,0,7
Midland 281,300,3,1,4,,,
Midland 281,300,3,2,4,,,
Midland 281,300,1,1,4.5,0.3101,0,7
Midland 281,300,1,2,4.5,0.3093,0,7
Midland 281,300,2,1,4.5,0.5004,0,7
Midland 281,300,2,2,4.5,0.4647,0,7
Midland 281,300,3,1,4.5,,,
Midland 281,300,3,2,4.5,,,
Midland 252,0,1,1,0,1.522,0,7
Midland 252,0,1,2,0,1.2335,0,7
Midland 252,0,2,1,0,1.6103,0,7
Midland 252,0,2,2,0,1.253,0,7
Midland 252,0,3,1,0,1.2381,0,7
Midland 252,0,3,2,0,1.1993,0,7
Midland 252,0,1,1,1,0.2466,0,7
Midland 252,0,1,2,1,0.2484,0,7
Midland 252,0,2,1,1,0.2543,0,7
Midland 252,0,2,2,1,0.2459,0,7
Midland 252,0,3,1,1,0.2597,0,7
Midland 252,0,3,2,1,0.262,0,7
Midland 252,0,1,1,2,0.2611,0,7
