Genotype,Spore_level,Plate,Animal,Sex,Technical_Replicate,Flourometry_Reading,Length_mm,Size_mm2,Final_length_mm,Final_Size_mm2,Total_Growth,Infected_Uninfected,Susceptible,Infected,Spores_ul,Total_Fecundity,Control_Number,Control_Technical_Replicate,Control_Flour_Reading,USE_Control_Flour_Reading,Plate_Control,Sample,TimeTillDeathDays,Censured,Growth,Age_1st_clutch,Individual_ID,Control_mean,fr_sw
Midland 281,150,M281_150,3,F,2,23602,1.248,1.5575,1.5744,2.47873536,0.9212,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.03264,11,Midland 281_150_3,43403.666666666664,0.8703035267731103
Midland 281,150,M281_150,4,F,1,28618,1.114,1.2401,1.5168,2.30068224,1.0606,Exposed,1,0,0,0,NA,NA,NA,NA,NA,3,14,0,0.04032,NA,Midland 281_150_4,43403.666666666664,0.59501147494313
Midland 281,150,M281_150,4,F,2,31751,1.114,1.2401,1.5168,2.30068224,1.0606,Exposed,1,0,0,0,NA,NA,NA,NA,NA,3,14,0,0.04032,NA,Midland 281_150_4,43403.666666666664,0.4465995743414743
Midland 281,150,M281_150,5,F,1,31157,1.075,1.1561,1.536,2.359296,1.2032,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.04608,17,Midland 281_150_5,43403.666666666664,0.47357854836529095
Midland 281,150,M281_150,5,F,2,28244,1.075,1.1561,1.536,2.359296,1.2032,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.04608,17,Midland 281_150_5,43403.666666666664,0.613804110415191
Midland 281,150,M281_150,6,F,1,30987,1.075,1.1561,1.4976,2.24280576,1.0868,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.04224,12,Midland 281_150_6,43403.666666666664,0.4813945160744688
Midland 281,150,M281_150,6,F,2,32274,1.075,1.1561,1.4976,2.24280576,1.0868,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.04224,12,Midland 281_150_6,43403.666666666664,0.4232599577508195
Midland 281,150,M281_150,7,F,1,28723,0.864,0.7465,1.344,1.806336,1.0598,Infected,0,1,47.4397026,1,NA,NA,NA,NA,NA,1,14,0,0.048,18,Midland 281_150_7,43403.666666666664,0.5897796105649036
Midland 281,150,M281_150,7,F,2,30982,0.864,0.7465,1.344,1.806336,1.0598,Infected,0,1,47.4397026,1,NA,NA,NA,NA,NA,1,14,0,0.048,18,Midland 281_150_7,43403.666666666664,0.48162504608651857
Midland 281,150,M281_150,8,F,1,33746,1.21,1.4631,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_8,43403.666666666664,0.35954575881226936
Midland 281,150,M281_150,8,F,2,33861,1.21,1.4631,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_8,43403.666666666664,0.35468573329019326
Midland 281,150,M281_150,9,F,1,24834,1.363,1.8583,1.5936,2.53956096,0.6812,Exposed,1,0,0,7,NA,NA,NA,NA,NA,1,14,0,0.02304,9,Midland 281_150_9,43403.666666666664,0.7976146299286911
Midland 281,150,M281_150,9,F,2,31753,1.363,1.8583,1.5936,2.53956096,0.6812,Exposed,1,0,0,7,NA,NA,NA,NA,NA,1,14,0,0.02304,9,Midland 281_150_9,43403.666666666664,0.4465095912582641
Midland 281,150,M281_150,10,F,1,31759,1.114,1.2401,1.4592,2.12926464,0.8892,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.03456,9,Midland 281_150_10,43403.666666666664,0.4462396760108486
Midland 281,150,M281_150,10,F,2,27871,1.114,1.2401,1.4592,2.12926464,0.8892,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.03456,9,Midland 281_150_10,43403.666666666664,0.6327960017415531
Midland 281,150,M281_150,11,F,1,28245,1.133,1.2832,1.4976,2.24280576,0.9596,Exposed,1,0,0,3,NA,NA,NA,NA,NA,1,14,0,0.03648,11,Midland 281_150_11,43403.666666666664,0.6137535316678696
Midland 281,150,M281_150,11,F,2,27806,1.133,1.2832,1.4976,2.24280576,0.9596,Exposed,1,0,0,3,NA,NA,NA,NA,NA,1,14,0,0.03648,11,Midland 281_150_11,43403.666666666664,0.6361315688534036
Midland 281,150,M281_150,12,F,1,24319,1.344,1.8063,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_12,43403.666666666664,0.82755140730458
Midland 281,150,M281_150,12,F,2,27881,1.344,1.8063,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_12,43403.666666666664,0.6322835281284481
Midland 281,150,M281_150,13,F,1,24753,1.344,1.8063,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_13,43403.666666666664,0.8022817559348834
Midland 281,150,M281_150,13,F,2,28436,1.344,1.8063,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_13,43403.666666666664,0.6041256783964251
Midland 281,150,M281_150,14,F,1,34988,1.19,1.4171,1.536,2.359296,0.9422,Exposed,1,0,0,4,NA,NA,NA,NA,NA,1,14,0,0.03456,11,Midland 281_150_14,43403.666666666664,0.3079125391244652
Midland 281,150,M281_150,14,F,2,29098,1.19,1.4171,1.536,2.359296,0.9422,Exposed,1,0,0,4,NA,NA,NA,NA,NA,1,14,0,0.03456,11,Midland 281_150_14,43403.666666666664,0.5712492566450532
Midland 281,150,M281_150,15,F,1,28995,1.44,2.0736,1.6512,2.72646144,0.6529,Exposed,1,0,0,1,NA,NA,NA,NA,NA,1,14,0,0.02112,19,Midland 281_150_15,43403.666666666664,0.5763150308804719
Midland 281,150,M281_150,15,F,2,28934,1.44,2.0736,1.6512,2.72646144,0.6529,Exposed,1,0,0,1,NA,NA,NA,NA,NA,1,14,0,0.02112,19,Midland 281_150_15,43403.666666666664,0.5793236410533368
Midland 281,150,M281_150,16,F,1,28816,1.248,1.5575,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_16,43403.666666666664,0.5851616207301912
Midland 281,150,M281_150,16,F,2,28884,1.248,1.5575,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_16,43403.666666666664,0.5817944490797128
Midland 281,150,M281_150,17,F,1,28638,1.133,1.2832,1.5936,2.53956096,1.2563,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.04608,12,Midland 281_150_17,43403.666666666664,0.5940134509898852
Midland 281,150,M281_150,17,F,2,28760,1.133,1.2832,1.5936,2.53956096,1.2563,Exposed,1,0,0,1,NA,NA,NA,NA,NA,3,14,0,0.04608,12,Midland 281_150_17,43403.666666666664,0.5879405572741261
Midland 281,150,M281_150,18,F,1,21921,1.344,1.8063,1.6704,2.79023616,0.9839,Exposed,1,0,0,8,NA,NA,NA,NA,NA,1,14,0,0.03264,11,Midland 281_150_18,43403.666666666664,0.9758554878107768
Midland 281,150,M281_150,18,F,2,22374,1.344,1.8063,1.6704,2.79023616,0.9839,Exposed,1,0,0,8,NA,NA,NA,NA,NA,1,14,0,0.03264,11,Midland 281_150_18,43403.666666666664,0.9466347893142792
Midland 281,150,M281_150,19,F,1,29377,1.286,1.6548,1.5744,2.47873536,0.8239,Exposed,1,0,0,3,NA,NA,NA,NA,NA,NA,14,0,0.0288,11,Midland 281_150_19,43403.666666666664,0.5576169538453055
Midland 281,150,M281_150,19,F,2,27082,1.286,1.6548,1.5744,2.47873536,0.8239,Exposed,1,0,0,3,NA,NA,NA,NA,NA,NA,14,0,0.0288,11,Midland 281_150_19,43403.666666666664,0.6738208891201455
Midland 281,150,M281_150,20,F,1,25825,1.229,1.5099,1.4976,2.24280576,0.7329,Exposed,1,0,0,4,NA,NA,NA,NA,NA,NA,14,0,0.02688,9,Midland 281_150_20,43403.666666666664,0.7417155827700457
Midland 281,150,M281_150,20,F,2,25462,1.229,1.5099,1.4976,2.24280576,0.7329,Exposed,1,0,0,4,NA,NA,NA,NA,NA,NA,14,0,0.02688,9,Midland 281_150_20,43403.666666666664,0.7619382547218293
Midland 281,150,M281_150,21,F,1,28007,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_21,43403.666666666664,0.625842062877604
Midland 281,150,M281_150,21,F,2,29303,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_21,43403.666666666664,0.5612200329780261
Midland 281,150,M281_150,22,F,1,34014,1.171,1.3717,1.5744,2.47873536,1.107,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.04032,11,Midland 281_150_22,43403.666666666664,0.3482453119635892
Midland 281,150,M281_150,22,F,2,39170,1.171,1.3717,1.5744,2.47873536,1.107,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.04032,11,Midland 281_150_22,43403.666666666664,0.1466182503814203
Midland 281,150,M281_150,23,F,1,32072,1.094,1.1977,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_23,43403.666666666664,0.43222935372075477
Midland 281,150,M281_150,23,F,2,28331,1.094,1.1977,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Midland 281_150_23,43403.666666666664,0.6094104449355622
Midland 281,150,M281_150,24,F,1,25339,1.248,1.5575,1.536,2.359296,0.8018,Exposed,1,0,0,2,NA,NA,NA,NA,NA,1,14,0,0.0288,9,Midland 281_150_24,43403.666666666664,0.7688560173279564
Midland 281,150,M281_150,24,F,2,23530,1.248,1.5575,1.536,2.359296,0.8018,Exposed,1,0,0,2,NA,NA,NA,NA,NA,1,14,0,0.0288,9,Midland 281_150_24,43403.666666666664,0.8746681717220901
Midland 281,150,M281_150,25,F,1,29134,1.171,1.3717,1.4976,2.24280576,0.8711,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.03264,11,Midland 281_150_25,43403.666666666664,0.5694829227399689
Midland 281,150,M281_150,25,F,2,30207,1.171,1.3717,1.4976,2.24280576,0.8711,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.03264,11,Midland 281_150_25,43403.666666666664,0.5178146247759237
Midland 281,150,M281_150,26,F,1,24024,1.344,1.8063,1.5936,2.53956096,0.7332,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.02496,10,Midland 281_150_26,43403.666666666664,0.8449865603767215
Midland 281,150,M281_150,26,F,2,22945,1.344,1.8063,1.5936,2.53956096,0.7332,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.02496,10,Midland 281_150_26,43403.666666666664,0.9106341072827676
Midland 281,150,M281_150,27,F,1,28578,1.325,1.7551,1.5744,2.47873536,0.7236,Exposed,1,0,0,2,NA,NA,NA,NA,NA,2,14,0,0.02496,11,Midland 281_150_27,43403.666666666664,0.5970096169970797
Midland 281,150,M281_150,27,F,2,30575,1.325,1.7551,1.5744,2.47873536,0.7236,Exposed,1,0,0,2,NA,NA,NA,NA,NA,2,14,0,0.02496,11,Midland 281_150_27,43403.666666666664,0.50051605910214
Midland 281,150,M281_150,28,F,1,32200,1.286,1.6548,1.6128,2.60112384,0.9463,Exposed,1,0,0,4,NA,NA,NA,NA,NA,2,14,0,0.03264,11,Midland 281_150_28,43403.666666666664,0.42653924342053073
Midland 281,150,M281_150,28,F,2,29790,1.286,1.6548,1.6128,2.60112384,0.9463,Exposed,1,0,0,4,NA,NA,NA,NA,NA,2,14,0,0.03264,11,Midland 281_150_28,43403.666666666664,0.5376730803136331
Midland 281,150,M281_150,29,F,1,25330,1.306,1.7046,1.5552,2.41864704,0.7141,Exposed,1,0,0,2,NA,NA,NA,NA,NA,2,14,0,0.02496,9,Midland 281_150_29,43403.666666666664,0.7693635127587861
Midland 281,150,M281_150,29,F,2,24349,1.306,1.7046,1.5552,2.41864704,0.7141,Exposed,1,0,0,2,NA,NA,NA,NA,NA,2,14,0,0.02496,9,Midland 281_150_29,43403.666666666664,0.8257902028874942
Midland 281,150,M281_150,30,F,1,26534,1.248,1.5575,1.5168,2.30068224,0.7432,Exposed,1,0,0,4,NA,NA,NA,NA,NA,2,14,0,0.02688,9,Midland 281_150_30,43403.666666666664,0.703024276357156
Midland 281,150,M281_150,30,F,2,34114,1.248,1.5575,1.5168,2.30068224,0.7432,Exposed,1,0,0,4,NA,NA,NA,NA,NA,2,14,0,0.02688,9,Midland 281_150_30,43403.666666666664,0.34405152246578985
Midland 281,300,M281_300,1,F,1,36432,1.229,1.5099,1.5552,2.41864704,0.9087,Exposed,1,0,0,2,NA,NA,NA,NA,NA,3,14,0,0.03264,18,Midland 281_300_1,40700.166666666664,0.15826382588982274
Midland 281,300,M281_300,1,F,2,41689,1.229,1.5099,1.5552,2.41864704,0.9087,Exposed,1,0,0,2,NA,NA,NA,NA,NA,3,14,0,0.03264,18,Midland 281_300_1,40700.166666666664,-0.03429302513320176
Midland 281,300,M281_300,2,F,1,35120,1.248,1.5575,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,NA,NA,Midland 281_300_2,40700.166666666664,0.21065916953906275
Midland 281,300,M281_300,2,F,2,33736,1.248,1.5575,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,NA,NA,Midland 281_300_2,40700.166666666664,0.2680952442857158
Midland 281,300,M281_300,3,F,1,34834,1.306,1.7046,1.5936,2.53956096,0.835,Exposed,1,0,0,3,NA,NA,NA,NA,NA,3,14,0,0.0288,9,Midland 281_300_3,40700.166666666664,0.22234038019238067
Midland 281,300,M281_300,3,F,2,31915,1.306,1.7046,1.5936,2.53956096,0.835,Exposed,1,0,0,3,NA,NA,NA,NA,NA,3,14,0,0.0288,9,Midland 281_300_3,40700.166666666664,0.34736581248034165
Midland 281,300,M281_300,4,F,1,30340,1.248,1.5575,1.632,2.663424,1.1059,Exposed,1,0,0,3,NA,NA,NA,NA,NA,1,14,0,0.0384,11,Midland 281_300_4,40700.166666666664,0.41966459074839085
Midland 281,300,M281_300,4,F,2,32137,1.248,1.5575,1.632,2.663424,1.1059,Exposed,1,0,0,3,NA,NA,NA,NA,NA,1,14,0,0.0384,11,Midland 281_300_4,40700.166666666664,0.3374631044598021
Midland 281,300,M281_300,5,F,1,28293,1.286,1.6548,1.536,2.359296,0.7045,Exposed,1,0,0,3,NA,NA,NA,NA,NA,1,14,0,0.02496,10,Midland 281_300_5,40700.166666666664,0.5194539474491462
Midland 281,300,M281_300,5,F,2,31342,1.286,1.6548,1.536,2.359296,0.7045,Exposed,1,0,0,3,NA,NA,NA,NA,NA,1,14,0,0.02496,10,Midland 281_300_5,40700.166666666664,0.3732473376331936
Midland 281,300,M281_300,6,F,1,34516,1.344,1.8063,1.632,2.663424,0.8571,Infected,0,1,24.51172137,4,NA,NA,NA,NA,NA,3,14,0,0.0288,10,Midland 281_300_6,40700.166666666664,0.23544171828314087
Midland 281,300,M281_300,6,F,2,32163,1.344,1.8063,1.632,2.663424,0.8571,Infected,0,1,24.51172137,4,NA,NA,NA,NA,NA,3,14,0,0.0288,10,Midland 281_300_6,40700.166666666664,0.33630780557435347
Midland 281,300,M281_300,7,F,1,28357,1.306,1.7046,1.6128,2.60112384,0.8965,Exposed,1,0,0,6,NA,NA,NA,NA,NA,3,14,0,0.03072,9,Midland 281_300_7,40700.166666666664,0.516226105954847
Midland 281,300,M281_300,7,F,2,35117,1.306,1.7046,1.6128,2.60112384,0.8965,Exposed,1,0,0,6,NA,NA,NA,NA,NA,3,14,0,0.03072,9,Midland 281_300_7,40700.166666666664,0.210781205340373
Midland 281,300,M281_300,8,F,1,42146,1.152,1.3271,1.5744,2.47873536,1.1516,Exposed,1,0,0,3,NA,NA,NA,NA,NA,3,14,0,0.04224,11,Midland 281_300_8,40700.166666666664,-0.049867990472516194
Midland 281,300,M281_300,8,F,2,41133,1.152,1.3271,1.5744,2.47873536,1.1516,Exposed,1,0,0,3,NA,NA,NA,NA,NA,3,14,0,0.04224,11,Midland 281_300_8,40700.166666666664,-0.015112187997668435
Midland 281,300,M281_300,9,F,1,35692,1.325,1.7551,1.6512,2.72646144,0.9714,Exposed,1,0,0,7,NA,NA,NA,NA,NA,2,14,0,0.03264,9,Midland 281_300_9,40700.166666666664,0.1875794477233638
Midland 281,300,M281_300,9,F,2,34240,1.325,1.7551,1.6512,2.72646144,0.9714,Exposed,1,0,0,7,NA,NA,NA,NA,NA,2,14,0,0.03264,9,Midland 281_300_9,40700.166666666664,0.246910908815312
Midland 281,300,M281_300,10,F,1,41197,1.19,1.4171,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,1,NA,NA,Midland 281_300_10,40700.166666666664,-0.01733321532294383
Midland 281,300,M281_300,10,F,2,34175,1.19,1.4171,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,5,1,NA,NA,Midland 281_300_10,40700.166666666664,0.249625435477495
Midland 281,300,M281_300,11,F,1,37935,1.306,1.7046,1.5552,2.41864704,0.7141,Exposed,1,0,0,3,NA,NA,NA,NA,NA,NA,14,0,0.02496,12,Midland 281_300_11,40700.166666666664,0.10051145522031657
Midland 281,300,M281_300,11,F,2,36324,1.306,1.7046,1.5552,2.41864704,0.7141,Exposed,1,0,0,3,NA,NA,NA,NA,NA,NA,14,0,0.02496,12,Midland 281_300_11,40700.166666666664,0.16250501088096822
Midland 281,300,M281_300,12,F,1,35706,0.864,0.7465,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,1,NA,NA,Midland 281_300_12,40700.166666666664,0.18701920793355675
Midland 281,300,M281_300,12,F,2,34167,0.864,0.7465,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,1,NA,NA,Midland 281_300_12,40700.166666666664,0.24995988783419434
Midland 281,300,M281_300,13,F,1,35255,1.19,1.4171,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,NA,NA,Midland 281_300_13,40700.166666666664,0.2051783203903655
Midland 281,300,M281_300,13,F,2,42082,1.19,1.4171,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,NA,NA,Midland 281_300_13,40700.166666666664,-0.04769701196122962
Midland 281,300,M281_300,14,F,1,40150,1.037,1.075,1.6128,2.60112384,1.5262,Exposed,1,0,0,0,NA,NA,NA,NA,NA,1,14,0,0.0576,NA,Midland 281_300_14,40700.166666666664,0.01944249578784164
Midland 281,300,M281_300,14,F,2,43116,1.037,1.075,1.6128,2.60112384,1.5262,Exposed,1,0,0,0,NA,NA,NA,NA,NA,1,14,0,0.0576,NA,Midland 281_300_14,40700.166666666664,-0.08237424353588894
Midland 281,300,M281_300,15,F,1,40946,1.325,1.7551,1.632,2.663424,0.9083,Exposed,1,0,0,1,NA,NA,NA,NA,NA,NA,14,0,0.03072,12,Midland 281_300_15,40700.166666666664,-0.008602768551610266
Midland 281,300,M281_300,15,F,2,37210,1.325,1.7551,1.632,2.663424,0.9083,Exposed,1,0,0,1,NA,NA,NA,NA,NA,NA,14,0,0.03072,12,Midland 281_300_15,40700.166666666664,0.12807806440818384
Midland 281,300,M281_300,16,F,1,37484,1.19,1.4171,1.536,2.359296,0.9422,Exposed,1,0,0,4,NA,NA,NA,NA,NA,3,14,0,0.03456,11,Midland 281_300_16,40700.166666666664,0.11759716026097507
Midland 281,300,M281_300,16,F,2,42053,1.19,1.4171,1.536,2.359296,0.9422,Exposed,1,0,0,4,NA,NA,NA,NA,NA,3,14,0,0.03456,11,Midland 281_300_16,40700.166666666664,-0.04671220009769504
Midland 281,300,M281_300,17,F,1,37349,1.248,1.5575,1.4784,2.18566656,0.6282,Exposed,1,0,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,Midland 281_300_17,40700.166666666664,0.1227514999793865
Midland 281,300,M281_300,17,F,2,32923,1.248,1.5575,1.4784,2.18566656,0.6282,Exposed,1,0,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,Midland 281_300_17,40700.166666666664,0.302943836821896
Midland 281,300,M281_300,18,F,1,35030,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,NA,NA,Midland 281_300_18,40700.166666666664,0.21432478604980618
Midland 281,300,M281_300,18,F,2,31920,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,NA,NA,Midland 281_300_18,40700.166666666664,0.3471420212323597
Midland 281,300,M281_300,19,F,1,36821,1.344,1.8063,1.6128,2.60112384,0.7948,Exposed,1,0,0,4,NA,NA,NA,NA,NA,NA,14,0,0.02688,12,Midland 281_300_19,40700.166666666664,0.14309121836499522
Midland 281,300,M281_300,19,F,2,36623,1.344,1.8063,1.6128,2.60112384,0.7948,Exposed,1,0,0,4,NA,NA,NA,NA,NA,NA,14,0,0.02688,12,Midland 281_300_19,40700.166666666664,0.1507938987237216
Midland 281,300,M281_300,20,F,1,43665,1.363,1.8583,1.5744,2.47873536,0.6204,Exposed,1,0,0,1,NA,NA,NA,NA,NA,NA,14,0,0.02112,12,Midland 281_300_20,40700.166666666664,-0.10044954060205213
Midland 281,300,M281_300,20,F,2,42668,1.363,1.8583,1.5744,2.47873536,0.6204,Exposed,1,0,0,1,NA,NA,NA,NA,NA,NA,14,0,0.02112,12,Midland 281_300_20,40700.166666666664,-0.06745291045568101
Midland 281,300,M281_300,21,F,1,38916,1.286,1.6548,1.632,2.663424,1.0086,Exposed,1,0,0,4,NA,NA,NA,NA,NA,1,14,0,0.03456,12,Midland 281_300_21,40700.166666666664,0.06403815761582654
Midland 281,300,M281_300,21,F,2,33241,1.286,1.6548,1.632,2.663424,1.0086,Exposed,1,0,0,4,NA,NA,NA,NA,NA,1,14,0,0.03456,12,Midland 281_300_21,40700.166666666664,0.28921161953381924
Midland 281,300,M281_300,22,F,1,39696,1.21,1.4631,1.5744,2.47873536,1.0156,Exposed,1,0,0,5,NA,NA,NA,NA,NA,1,14,0,0.03648,11,Midland 281_300_22,40700.166666666664,0.03568822927830638
Midland 281,300,M281_300,22,F,2,36458,1.21,1.4631,1.5744,2.47873536,1.0156,Exposed,1,0,0,5,NA,NA,NA,NA,NA,1,14,0,0.03648,11,Midland 281_300_22,40700.166666666664,0.15724467761932853
Midland 281,300,M281_300,23,F,1,48228,1.094,1.1977,1.536,2.359296,1.1616,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.04416,19,Midland 281_300_23,40700.166666666664,-0.24243939687257807
Midland 281,300,M281_300,23,F,2,43652,1.094,1.1977,1.536,2.359296,1.1616,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.04416,19,Midland 281_300_23,40700.166666666664,-0.1000241611522624
Midland 281,300,M281_300,24,F,1,38487,1.114,1.2401,1.5168,2.30068224,1.0606,Exposed,1,0,0,5,NA,NA,NA,NA,NA,1,14,0,0.04032,11,Midland 281_300_24,40700.166666666664,0.07987380786992405
Midland 281,300,M281_300,24,F,2,40802,1.114,1.2401,1.5168,2.30068224,1.0606,Exposed,1,0,0,5,NA,NA,NA,NA,NA,1,14,0,0.04032,11,Midland 281_300_24,40700.166666666664,-0.0035698748175395285
Midland 281,300,M281_300,25,F,1,42460,1.171,1.3717,1.5744,2.47873536,1.107,Exposed,1,0,0,0,NA,NA,NA,NA,NA,1,14,0,0.04032,NA,Midland 281_300_25,40700.166666666664,-0.06047181261550035
Midland 281,300,M281_300,25,F,2,48759,1.171,1.3717,1.5744,2.47873536,1.107,Exposed,1,0,0,0,NA,NA,NA,NA,NA,1,14,0,0.04032,NA,Midland 281_300_25,40700.166666666664,-0.25808229763555546
Midland 281,300,M281_300,26,F,1,45209,1.363,1.8583,1.5936,2.53956096,0.6812,Exposed,1,0,0,0,NA,NA,NA,NA,NA,2,14,0,0.02304,NA,Midland 281_300_26,40700.166666666664,-0.15009142088200586
Midland 281,300,M281_300,26,F,2,51175,1.363,1.8583,1.5936,2.53956096,0.6812,Exposed,1,0,0,0,NA,NA,NA,NA,NA,2,14,0,0.02304,NA,Midland 281_300_26,40700.166666666664,-0.32716992014727647
Midland 281,300,M281_300,27,F,1,52768,0.96,0.9216,1.4976,2.24280576,1.3212,Exposed,1,0,0,3,NA,NA,NA,NA,NA,2,14,0,0.05376,12,Midland 281_300_27,40700.166666666664,-0.37096108418989804
Midland 281,300,M281_300,27,F,2,56291,0.96,0.9216,1.4976,2.24280576,1.3212,Exposed,1,0,0,3,NA,NA,NA,NA,NA,2,14,0,0.05376,12,Midland 281_300_27,40700.166666666664,-0.46328925288380435
Midland 281,300,M281_300,28,F,1,49786,1.152,1.3271,1.5744,2.47873536,1.1516,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.04224,20,Midland 281_300_28,40700.166666666664,-0.2878594750935091
Midland 281,300,M281_300,28,F,2,47084,1.152,1.3271,1.5744,2.47873536,1.1516,Exposed,1,0,0,1,NA,NA,NA,NA,NA,2,14,0,0.04224,20,Midland 281_300_28,40700.166666666664,-0.20814436157996363
Midland 281,300,M281_300,29,F,1,40730,1.363,1.8583,1.632,2.663424,0.8051,Exposed,1,0,0,3,NA,NA,NA,NA,NA,2,14,0,0.02688,12,Midland 281_300_29,40700.166666666664,-0.001046763165802146
Midland 281,300,M281_300,29,F,2,30941,1.363,1.8583,1.632,2.663424,0.8051,Exposed,1,0,0,3,NA,NA,NA,NA,NA,2,14,0,0.02688,12,Midland 281_300_29,40700.166666666664,0.39164288885869114
Midland 281,300,M281_300,30,F,1,49105,1.094,1.1977,1.5744,2.47873536,1.281,Exposed,1,0,0,2,NA,NA,NA,NA,NA,2,14,0,0.048,20,Midland 281_300_30,40700.166666666664,-0.2681838216649683
Midland 281,300,M281_300,30,F,2,48234,1.094,1.1977,1.5744,2.47873536,1.281,Exposed,1,0,0,2,NA,NA,NA,NA,NA,2,14,0,0.048,20,Midland 281_300_30,40700.166666666664,-0.2426171130423129
